scrape_id,query,country,name,category,address,phone,website,email,lat,lng,google_maps_url,rating,reviews_count,hours,approved,notes
"ChIJkZRm8QmnIIYRmxvibdTy3sM","mental health clinic Algeria","Algeria","Algiers Behavioral Health Center","Mental health clinic","3100 General De Gaulle Dr, New Orleans, LA 70114","(504) 568-3130","http://www.mhsdla.org/","","29.9267272","-90.0237054","https://www.google.com/maps/search/?api=1&query=Algiers%20Behavioral%20Health%20Center&query_place_id=ChIJkZRm8QmnIIYRmxvibdTy3sM","2.7","18","[{""day"":""Monday"",""hours"":""8:30 AM to 4:30 PM""},{""day"":""Tuesday"",""hours"":""8:30 AM to 4:30 PM""},{""day"":""Wednesday"",""hours"":""8:30 AM to 4:30 PM""},{""day"":""Thursday"",""hours"":""8:30 AM to 4:30 PM""},{""day"":""Friday"",""hours"":""8:30 AM to 4:30 PM""},{""day"":""Saturday"",""hours"":""Closed""},{""day"":""Sunday"",""hours"":""Closed""}]","",""
"ChIJEwbWNweyjxIRpNf8nG3CKZk","mental health clinic Algeria","Algeria","Clinique CGSA","Mental health clinic","Micro zone d'activité، 25 Chemin Doudou Mokhtar, Hydra 16000, Algeria","+213 23 53 13 82","http://cgsa-hydra.com/","","36.7450061","3.0229733","https://www.google.com/maps/search/?api=1&query=Clinique%20CGSA&query_place_id=ChIJEwbWNweyjxIRpNf8nG3CKZk","3.2","103","[{""day"":""Monday"",""hours"":""9 AM to 8 PM""},{""day"":""Tuesday"",""hours"":""9 AM to 8 PM""},{""day"":""Wednesday"",""hours"":""9 AM to 8 PM""},{""day"":""Thursday"",""hours"":""9 AM to 8 PM""},{""day"":""Friday"",""hours"":""Closed""},{""day"":""Saturday"",""hours"":""9 AM to 8 PM""},{""day"":""Sunday"",""hours"":""9 AM to 8 PM""}]","",""
"ChIJYUM2ZxtRjhIRyVA5cDtok3c","mental health clinic Algeria","Algeria","Reliance algeria and co","Mental health service","P5CR+F3M, Bab Ezzouar 16000, Algeria","+213 797 57 19 33","","","36.7212043","3.1901755","https://www.google.com/maps/search/?api=1&query=Reliance%20algeria%20and%20co&query_place_id=ChIJYUM2ZxtRjhIRyVA5cDtok3c","5","1","[]","",""
"ChIJtYK01t6zjxIRHqPffLHU-Ts","psychological counseling center Algeria","Algeria","Cabinet My Change Therapy | psychologue Yousra Bouceloua","Psychologist","34,rue Ali, Rue A. Harriched, Alger Centre 16000, Algeria","+213 792 25 13 91","","","36.776709","3.0574033","https://www.google.com/maps/search/?api=1&query=Cabinet%20My%20Change%20Therapy%20%7C%20psychologue%20Yousra%20Bouceloua&query_place_id=ChIJtYK01t6zjxIRHqPffLHU-Ts","4.9","67","[{""day"":""Monday"",""hours"":""9 AM to 5 PM""},{""day"":""Tuesday"",""hours"":""9 AM to 5 PM""},{""day"":""Wednesday"",""hours"":""9 AM to 5 PM""},{""day"":""Thursday"",""hours"":""9 AM to 5 PM""},{""day"":""Friday"",""hours"":""Closed""},{""day"":""Saturday"",""hours"":""9 AM to 5 PM""},{""day"":""Sunday"",""hours"":""9 AM to 5 PM""}]","",""
"ChIJx6sMka9ZwokRIe-hop0xhEs","NGO mental health Egypt","Egypt","Doctors Without Borders","Non-profit organization","40 Rector St 16th Floor, New York, NY 10006","(212) 679-6800","http://www.doctorswithoutborders.org/","","40.708592","-74.014921","https://www.google.com/maps/search/?api=1&query=Doctors%20Without%20Borders&query_place_id=ChIJx6sMka9ZwokRIe-hop0xhEs","4.5","39","[{""day"":""Monday"",""hours"":""9 AM to 5 PM""},{""day"":""Tuesday"",""hours"":""9 AM to 5 PM""},{""day"":""Wednesday"",""hours"":""9 AM to 5 PM""},{""day"":""Thursday"",""hours"":""9 AM to 5 PM""},{""day"":""Friday"",""hours"":""9 AM to 5 PM""},{""day"":""Saturday"",""hours"":""Closed""},{""day"":""Sunday"",""hours"":""Closed""}]","",""
"ChIJcTUs9nvKRIYRy5rS-hkKvmY","mental health hotline crisis helpline Algeria","Algeria","Travis County Crisis Team","County government office","4110 Guadalupe St, Austin, TX 78751","(512) 854-3430","","","30.3080207","-97.7354901","https://www.google.com/maps/search/?api=1&query=Travis%20County%20Crisis%20Team&query_place_id=ChIJcTUs9nvKRIYRy5rS-hkKvmY","3","4","[]","",""
"ChIJAXyhscrlMIgRaGtEnd0FXX8","psychological counseling center Egypt","Egypt","Lamplight Counseling Services LLC","Psychologist","6133 Rockside Rd #403, Independence, OH 44131","(216) 455-5571","https://lamplightcounseling.net/counseling-in-independence/","","41.3969517","-81.6477812","https://www.google.com/maps/search/?api=1&query=Lamplight%20Counseling%20Services%20LLC&query_place_id=ChIJAXyhscrlMIgRaGtEnd0FXX8","4.4","35","[{""day"":""Monday"",""hours"":""9 AM to 7 PM""},{""day"":""Tuesday"",""hours"":""9 AM to 7 PM""},{""day"":""Wednesday"",""hours"":""9 AM to 7 PM""},{""day"":""Thursday"",""hours"":""9 AM to 7 PM""},{""day"":""Friday"",""hours"":""9 AM to 4 PM""},{""day"":""Saturday"",""hours"":""9 AM to 4 PM""},{""day"":""Sunday"",""hours"":""Closed""}]","",""
"ChIJPUeG7KACMYgRfgSjbWrRtww","psychological counseling center Egypt","Egypt","Cleveland Counseling Center - Ohio","Psychologist","23360 Chagrin Blvd UNIT 102, Beachwood, OH 44122","(216) 242-6662","https://www.clevelandcounselingcenter.com/","","41.4640033","-81.5142245","https://www.google.com/maps/search/?api=1&query=Cleveland%20Counseling%20Center%20-%20Ohio&query_place_id=ChIJPUeG7KACMYgRfgSjbWrRtww","5","5","[{""day"":""Monday"",""hours"":""9 AM to 10 PM""},{""day"":""Tuesday"",""hours"":""9 AM to 5 PM""},{""day"":""Wednesday"",""hours"":""9 AM to 10 PM""},{""day"":""Thursday"",""hours"":""9 AM to 10 PM""},{""day"":""Friday"",""hours"":""9 AM to 5 PM""},{""day"":""Saturday"",""hours"":""9 AM to 5 PM""},{""day"":""Sunday"",""hours"":""9 AM to 10 PM""}]","",""
"ChIJp-xf6zLpMIgRN2RbkTPij9w","psychological counseling center Egypt","Egypt","Pathways Family Counseling","Counselor","6785 Wallings Rd, North Royalton, OH 44133","(440) 457-7474","https://www.neomindbodycollab.com/","","41.3244667","-81.7352523","https://www.google.com/maps/search/?api=1&query=Pathways%20Family%20Counseling&query_place_id=ChIJp-xf6zLpMIgRN2RbkTPij9w","3.8","6","[{""day"":""Monday"",""hours"":""8 AM to 8 PM""},{""day"":""Tuesday"",""hours"":""8 AM to 8 PM""},{""day"":""Wednesday"",""hours"":""8 AM to 8 PM""},{""day"":""Thursday"",""hours"":""8 AM to 8 PM""},{""day"":""Friday"",""hours"":""8 AM to 8 PM""},{""day"":""Saturday"",""hours"":""9 AM to 1 PM""},{""day"":""Sunday"",""hours"":""Closed""}]","",""
"ChIJ76ZJkQADMYgRjuMtMEJ_bVU","psychological counseling center Egypt","Egypt","Psychology Partners of Ohio, LTD","Psychologist","24400 Highpoint Rd # 5, Beachwood, OH 44122","(216) 505-0456","http://www.psychologypartnersohio.com/","","41.4575609","-81.5057313","https://www.google.com/maps/search/?api=1&query=Psychology%20Partners%20of%20Ohio%2C%20LTD&query_place_id=ChIJ76ZJkQADMYgRjuMtMEJ_bVU","4.5","8","[{""day"":""Monday"",""hours"":""9 AM to 8 PM""},{""day"":""Tuesday"",""hours"":""9 AM to 8 PM""},{""day"":""Wednesday"",""hours"":""9 AM to 8 PM""},{""day"":""Thursday"",""hours"":""9 AM to 8 PM""},{""day"":""Friday"",""hours"":""9 AM to 5 PM""},{""day"":""Saturday"",""hours"":""Closed""},{""day"":""Sunday"",""hours"":""Closed""}]","",""
