id,name,country,type,description,phone,email,website,address,google_maps_url,lat,lng,services,languages,session_type,pricing,stakeholders,hours,verified,date_added
"algeria-clinique-cgsa","Clinique CGSA","Algeria","Clinic","","+213 23 53 13 82","","http://cgsa-hydra.com/","Micro zone d'activité، 25 Chemin Doudou Mokhtar, Hydra 16000, Algeria","https://www.google.com/maps/search/?api=1&query=Clinique%20CGSA&query_place_id=ChIJEwbWNweyjxIRpNf8nG3CKZk","36.7450061","3.0229733","","ar,fr","Unknown","Unknown","","{day:Monday,hours:9 AM to 8 PM},{day:Tuesday,hours:9 AM to 8 PM},{day:Wednesday,hours:9 AM to 8 PM},{day:Thursday,hours:9 AM to 8 PM},{day:Friday,hours:Closed},{day:Saturday,hours:9 AM to 8 PM},{day:Sunday,hours:9 AM to 8 PM}","FALSE","2026-04-17"
"algeria-reliance-algeria-and-co","Reliance algeria and co","Algeria","Clinic","","+213 797 57 19 33","","","P5CR+F3M, Bab Ezzouar 16000, Algeria","https://www.google.com/maps/search/?api=1&query=Reliance%20algeria%20and%20co&query_place_id=ChIJYUM2ZxtRjhIRyVA5cDtok3c","36.7212043","3.1901755","","ar,fr","Unknown","Unknown","","","FALSE","2026-04-17"
"algeria-cabinet-my-change-therapy-psychologue-yousra-boucelo","Cabinet My Change Therapy | psychologue Yousra Bouceloua","Algeria","Clinic","","+213 792 25 13 91","","","34,rue Ali, Rue A. Harriched, Alger Centre 16000, Algeria","https://www.google.com/maps/search/?api=1&query=Cabinet%20My%20Change%20Therapy%20%7C%20psychologue%20Yousra%20Bouceloua&query_place_id=ChIJtYK01t6zjxIRHqPffLHU-Ts","36.776709","3.0574033","","ar,fr","Unknown","Unknown","","{day:Monday,hours:9 AM to 5 PM},{day:Tuesday,hours:9 AM to 5 PM},{day:Wednesday,hours:9 AM to 5 PM},{day:Thursday,hours:9 AM to 5 PM},{day:Friday,hours:Closed},{day:Saturday,hours:9 AM to 5 PM},{day:Sunday,hours:9 AM to 5 PM}","FALSE","2026-04-17"
"iraq-iraq-health-access-organization","Iraq Health Access Organization","Iraq","Clinic","","+964 771 056 5766","","https://iraqhao.org/","8C29+6MH, Baghdad, Baghdad Governorate, Iraq","https://www.google.com/maps/search/?api=1&query=Iraq%20Health%20Access%20Organization&query_place_id=ChIJqRQy1_GBVxURXG7RAVlFgYQ","33.3005714","44.4192352","","ar","Unknown","Unknown","","{day:Monday,hours:9 AM to 3 PM},{day:Tuesday,hours:9 AM to 3 PM},{day:Wednesday,hours:9 AM to 3 PM},{day:Thursday,hours:9 AM to 3 PM},{day:Friday,hours:Closed},{day:Saturday,hours:Closed},{day:Sunday,hours:9 AM to 3 PM}","FALSE","2026-04-17"
"iraq-psychological-support","Psychological Support","Iraq","Clinic","","+964 751 995 6270","","https://heylink.me/PsychologicaLSupport","Koya St, Erbil, Erbil Governorate, 44001, Iraq","https://www.google.com/maps/search/?api=1&query=Psychological%20Support&query_place_id=ChIJXzviqgcjB0AR9pJV04xq4P8","36.1973731","44.0645079","","ar","Unknown","Unknown","","{day:Monday,hours:1 to 10 PM},{day:Tuesday,hours:1 to 10 PM},{day:Wednesday,hours:1 to 10 PM},{day:Thursday,hours:Closed},{day:Friday,hours:Closed},{day:Saturday,hours:Closed},{day:Sunday,hours:1 to 10 PM}","FALSE","2026-04-17"
"iraq-nihan-organization","Nihan organization","Iraq","NGO","","+964 751 554 7565","","http://www.nihan.ngo/","opposite Media High School, Erbil, Erbil Governorate, 44001, Iraq","https://www.google.com/maps/search/?api=1&query=Nihan%20organization&query_place_id=ChIJIZMKIPAjB0ARbKs1fKLTIe0","36.1904507","43.9987482","","ar","Unknown","Unknown","","{day:Monday,hours:8 AM to 5 PM},{day:Tuesday,hours:8 AM to 5 PM},{day:Wednesday,hours:8 AM to 5 PM},{day:Thursday,hours:8 AM to 5 PM},{day:Friday,hours:Closed},{day:Saturday,hours:Closed},{day:Sunday,hours:8 AM to 5 PM}","FALSE","2026-04-17"
"iraq-jiyan-foundation-for-human-rights","Jiyan Foundation for Human Rights","Iraq","NGO","","+964 66 264 7979","","http://www.jiyan.org/","104 Mhata 104 Zaniary Quarter, Erbil, 44001, Iraq","https://www.google.com/maps/search/?api=1&query=Jiyan%20Foundation%20for%20Human%20Rights&query_place_id=ChIJsUT1IQYjB0AR9yIDSQU4siI","36.1793326","44.0069608","","ar","Unknown","Unknown","","{day:Monday,hours:8:30 AM to 4:30 PM},{day:Tuesday,hours:8:30 AM to 4:30 PM},{day:Wednesday,hours:8:30 AM to 4:30 PM},{day:Thursday,hours:8:30 AM to 4:30 PM},{day:Friday,hours:Closed},{day:Saturday,hours:Closed},{day:Sunday,hours:8:30 AM to 4:30 PM}","FALSE","2026-04-17"
"iraq-jiyan-foundation-for-human-rights-e2i","Jiyan Foundation for Human Rights","Iraq","NGO","","+964 771 013 6137","","http://www.jiyan-foundation.org/","Rzgari taza 412, House 10, 98, Sulaymaniyah, 46001, Iraq","https://www.google.com/maps/search/?api=1&query=Jiyan%20Foundation%20for%20Human%20Rights&query_place_id=ChIJlwhNM38uAEARLCD13x16z9U","35.5605983","45.3940167","","ar","Unknown","Unknown","","{day:Monday,hours:8:30 AM to 4:30 PM},{day:Tuesday,hours:8:30 AM to 4:30 PM},{day:Wednesday,hours:8:30 AM to 4:30 PM},{day:Thursday,hours:8:30 AM to 4:30 PM},{day:Friday,hours:Closed},{day:Saturday,hours:Closed},{day:Sunday,hours:8:30 AM to 4:30 PM}","FALSE","2026-04-17"
"iraq-hospital-mental-illness","Hospital mental illness","Iraq","Hospital","","","","","9FMW+JCC, Baghdad, Baghdad Governorate, Iraq","https://www.google.com/maps/search/?api=1&query=Hospital%20mental%20illness&query_place_id=ChIJwZxbdRObVxURhzoFwScsnKM","33.3840612","44.4960141","","ar","Unknown","Unknown","","","FALSE","2026-04-17"
"iraq-mental-health-office-kirkuk-health-department","Mental Health Office - Kirkuk Health Department","Iraq","Clinic","","","","","F92J+3HW, Kirkuk, Kirkuk Governorate, Iraq","https://www.google.com/maps/search/?api=1&query=Mental%20Health%20Office%20-%20Kirkuk%20Health%20Department&query_place_id=ChIJax50scfXVBURc47h6pI0Y3k","35.4506203","44.3820593","","ar","Unknown","Unknown","","","FALSE","2026-04-17"
"iraq-joint-crisis-coordination-center-jcc","Joint Crisis Coordination Center (JCC) , ناوەندی هاوبەشی هەماهەنگی قەیرانەکان","Iraq","Helpline","","+964 750 754 3946","","","Kirkuk Road, Erbil, Adala, 44001, Iraq","https://www.google.com/maps/search/?api=1&query=Joint%20Crisis%20Coordination%20Center%20(JCC)%20%2C%20%D9%86%D8%A7%D9%88%DB%95%D9%86%D8%AF%DB%8C%20%D9%87%D8%A7%D9%88%D8%A8%DB%95%D8%B4%DB%8C%20%D9%87%DB%95%D9%85%D8%A7%D9%87%DB%95%D9%86%DA%AF%DB%8C%20%D9%82%DB%95%DB%8C%D8%B1%D8%A7%D9%86%DB%95%DA%A9%D8%A7%D9%86&query_place_id=ChIJLYB37CwiB0ARsxgRVLg5qTE","36.1396","44.0204236","","ar","Unknown","Unknown","","","FALSE","2026-04-17"
"iraq-1","1","Iraq","Clinic","","+964 751 700 2143","","","Jamila Mantk Mosque مزگەوتی جمیلە مەنتک, Kasnazan, 44001, Iraq","https://www.google.com/maps/search/?api=1&query=1&query_place_id=ChIJnWNOmI8nB0ARjMdEabzbOoE","36.1977746","44.1471429","","ar","Unknown","Unknown","","{day:Monday,hours:8:30 AM to 4 PM},{day:Tuesday,hours:8:30 AM to 4 PM},{day:Wednesday,hours:8:30 AM to 4 PM},{day:Thursday,hours:8:30 AM to 4 PM},{day:Friday,hours:Closed},{day:Saturday,hours:Closed},{day:Sunday,hours:8:30 AM to 4 PM}","FALSE","2026-04-17"
"iraq-msf-h","منظمة أطباء بلا حدود MSF-H","Iraq","NGO","","+964 783 496 2069","","","Duhok, kurdistan، 42001, Iraq","https://www.google.com/maps/search/?api=1&query=%D9%85%D9%86%D8%B8%D9%85%D8%A9%20%D8%A3%D8%B7%D8%A8%D8%A7%D8%A1%20%D8%A8%D9%84%D8%A7%20%D8%AD%D8%AF%D9%88%D8%AF%20MSF-H&query_place_id=ChIJ73JeAEmLCEAR1LST-caa98Q","36.8438926","42.9360365","","ar","Unknown","Unknown","","{day:Monday,hours:Open 24 hours},{day:Tuesday,hours:Open 24 hours},{day:Wednesday,hours:Open 24 hours},{day:Thursday,hours:Closed},{day:Friday,hours:Open 24 hours},{day:Saturday,hours:Open 24 hours},{day:Sunday,hours:Open 24 hours}","FALSE","2026-04-17"
