id,name,country,type,description,phone,email,website,address,google_maps_url,lat,lng,services,languages,session_type,pricing,stakeholders,hours,verified,date_added,_flag_reason
"algeria-algiers-behavioral-health-center","Algiers Behavioral Health Center","Algeria","PHCC","","(504) 568-3130","","http://www.mhsdla.org/","3100 General De Gaulle Dr, New Orleans, LA 70114","https://www.google.com/maps/search/?api=1&query=Algiers%20Behavioral%20Health%20Center&query_place_id=ChIJkZRm8QmnIIYRmxvibdTy3sM","29.9267272","-90.0237054","","ar,fr","Unknown","Unknown","","{day:Monday,hours:8:30 AM to 4:30 PM},{day:Tuesday,hours:8:30 AM to 4:30 PM},{day:Wednesday,hours:8:30 AM to 4:30 PM},{day:Thursday,hours:8:30 AM to 4:30 PM},{day:Friday,hours:8:30 AM to 4:30 PM},{day:Saturday,hours:Closed},{day:Sunday,hours:Closed}","FALSE","2026-04-17","coords_outside_Algeria"
"egypt-doctors-without-borders","Doctors Without Borders","Egypt","NGO","","(212) 679-6800","","http://www.doctorswithoutborders.org/","40 Rector St 16th Floor, New York, NY 10006","https://www.google.com/maps/search/?api=1&query=Doctors%20Without%20Borders&query_place_id=ChIJx6sMka9ZwokRIe-hop0xhEs","40.708592","-74.014921","","ar","Unknown","Unknown","","{day:Monday,hours:9 AM to 5 PM},{day:Tuesday,hours:9 AM to 5 PM},{day:Wednesday,hours:9 AM to 5 PM},{day:Thursday,hours:9 AM to 5 PM},{day:Friday,hours:9 AM to 5 PM},{day:Saturday,hours:Closed},{day:Sunday,hours:Closed}","FALSE","2026-04-17","coords_outside_Egypt"
"algeria-travis-county-crisis-team","Travis County Crisis Team","Algeria","Helpline","","(512) 854-3430","","","4110 Guadalupe St, Austin, TX 78751","https://www.google.com/maps/search/?api=1&query=Travis%20County%20Crisis%20Team&query_place_id=ChIJcTUs9nvKRIYRy5rS-hkKvmY","30.3080207","-97.7354901","","ar,fr","Unknown","Unknown","","","FALSE","2026-04-17","coords_outside_Algeria"
"egypt-lamplight-counseling-services-llc","Lamplight Counseling Services LLC","Egypt","Clinic","","(216) 455-5571","","https://lamplightcounseling.net/counseling-in-independence/","6133 Rockside Rd #403, Independence, OH 44131","https://www.google.com/maps/search/?api=1&query=Lamplight%20Counseling%20Services%20LLC&query_place_id=ChIJAXyhscrlMIgRaGtEnd0FXX8","41.3969517","-81.6477812","","ar","Unknown","Unknown","","{day:Monday,hours:9 AM to 7 PM},{day:Tuesday,hours:9 AM to 7 PM},{day:Wednesday,hours:9 AM to 7 PM},{day:Thursday,hours:9 AM to 7 PM},{day:Friday,hours:9 AM to 4 PM},{day:Saturday,hours:9 AM to 4 PM},{day:Sunday,hours:Closed}","FALSE","2026-04-17","coords_outside_Egypt"
"egypt-cleveland-counseling-center-ohio","Cleveland Counseling Center - Ohio","Egypt","Clinic","","(216) 242-6662","","https://www.clevelandcounselingcenter.com/","23360 Chagrin Blvd UNIT 102, Beachwood, OH 44122","https://www.google.com/maps/search/?api=1&query=Cleveland%20Counseling%20Center%20-%20Ohio&query_place_id=ChIJPUeG7KACMYgRfgSjbWrRtww","41.4640033","-81.5142245","","ar","Unknown","Unknown","","{day:Monday,hours:9 AM to 10 PM},{day:Tuesday,hours:9 AM to 5 PM},{day:Wednesday,hours:9 AM to 10 PM},{day:Thursday,hours:9 AM to 10 PM},{day:Friday,hours:9 AM to 5 PM},{day:Saturday,hours:9 AM to 5 PM},{day:Sunday,hours:9 AM to 10 PM}","FALSE","2026-04-17","coords_outside_Egypt"
"egypt-pathways-family-counseling","Pathways Family Counseling","Egypt","Clinic","","(440) 457-7474","","https://www.neomindbodycollab.com/","6785 Wallings Rd, North Royalton, OH 44133","https://www.google.com/maps/search/?api=1&query=Pathways%20Family%20Counseling&query_place_id=ChIJp-xf6zLpMIgRN2RbkTPij9w","41.3244667","-81.7352523","","ar","Unknown","Unknown","","{day:Monday,hours:8 AM to 8 PM},{day:Tuesday,hours:8 AM to 8 PM},{day:Wednesday,hours:8 AM to 8 PM},{day:Thursday,hours:8 AM to 8 PM},{day:Friday,hours:8 AM to 8 PM},{day:Saturday,hours:9 AM to 1 PM},{day:Sunday,hours:Closed}","FALSE","2026-04-17","coords_outside_Egypt"
"egypt-psychology-partners-of-ohio-ltd","Psychology Partners of Ohio, LTD","Egypt","Clinic","","(216) 505-0456","","http://www.psychologypartnersohio.com/","24400 Highpoint Rd # 5, Beachwood, OH 44122","https://www.google.com/maps/search/?api=1&query=Psychology%20Partners%20of%20Ohio%2C%20LTD&query_place_id=ChIJ76ZJkQADMYgRjuMtMEJ_bVU","41.4575609","-81.5057313","","ar","Unknown","Unknown","","{day:Monday,hours:9 AM to 8 PM},{day:Tuesday,hours:9 AM to 8 PM},{day:Wednesday,hours:9 AM to 8 PM},{day:Thursday,hours:9 AM to 8 PM},{day:Friday,hours:9 AM to 5 PM},{day:Saturday,hours:Closed},{day:Sunday,hours:Closed}","FALSE","2026-04-17","coords_outside_Egypt"
"egypt-humanistic-counseling-center-llc-lyndhurst","Humanistic Counseling Center, LLC LYNDHURST","Egypt","Clinic","","(216) 839-2273","","http://www.humanisticcounselingcenter.com/","5555 Mayfield Rd, Lyndhurst, OH 44124","https://www.google.com/maps/search/?api=1&query=Humanistic%20Counseling%20Center%2C%20LLC%20LYNDHURST&query_place_id=ChIJ7Xt97hsCMYgR_O_FqnUTjME","41.5203907","-81.4794336","","ar","Unknown","Unknown","","{day:Monday,hours:7:30 AM to 9:30 PM},{day:Tuesday,hours:7:30 AM to 9:30 PM},{day:Wednesday,hours:7:30 AM to 9:30 PM},{day:Thursday,hours:7:30 AM to 9:30 PM},{day:Friday,hours:7:30 AM to 9:30 PM},{day:Saturday,hours:8 AM to 9 PM},{day:Sunday,hours:9 AM to 3 PM}","FALSE","2026-04-17","coords_outside_Egypt"
"egypt-progression-counseling-group","Progression Counseling Group","Egypt","Clinic","","(216) 342-5484","","http://www.progressioncg.com/","3681 S Green Rd UNIT 404, Beachwood, OH 44122","https://www.google.com/maps/search/?api=1&query=Progression%20Counseling%20Group&query_place_id=ChIJm8zXn6cCMYgRbzgbQdU7rFo","41.460013","-81.5163537","","ar","Unknown","Unknown","","{day:Monday,hours:8 AM to 8 PM},{day:Tuesday,hours:8 AM to 8 PM},{day:Wednesday,hours:8 AM to 8 PM},{day:Thursday,hours:8 AM to 8 PM},{day:Friday,hours:8 AM to 8 PM},{day:Saturday,hours:9 AM to 4 PM},{day:Sunday,hours:Closed}","FALSE","2026-04-17","coords_outside_Egypt"
"egypt-strongsville-psychological-services","Strongsville Psychological Services","Egypt","Clinic","","(440) 234-9955","","http://strongsvillepsychological.com/","7370 Engle Rd, Middleburg Heights, OH 44130","https://www.google.com/maps/search/?api=1&query=Strongsville%20Psychological%20Services&query_place_id=ChIJvcSbELXrMIgRjVxeQHol8wg","41.3660475","-81.8257368","","ar","Unknown","Unknown","","{day:Monday,hours:9 AM to 7 PM},{day:Tuesday,hours:9 AM to 7 PM},{day:Wednesday,hours:9 AM to 7 PM},{day:Thursday,hours:9 AM to 7 PM},{day:Friday,hours:9 AM to 5 PM},{day:Saturday,hours:9 AM to 2 PM},{day:Sunday,hours:Closed}","FALSE","2026-04-17","coords_outside_Egypt"
